prb_id,address_v4,address_v6,asn_v4,asn_v6,msm_url
56,,,3320,3320,https://atlas.ripe.net/api/v2/probes/56/measurements/?format=json
198,188.193.70.113,,31334,,https://atlas.ripe.net/api/v2/probes/198/measurements/?format=json
259,,,15598,15598,https://atlas.ripe.net/api/v2/probes/259/measurements/?format=json
267,213.95.173.146,2001:780:100:4:220:4aff:fec8:22dd,12337,12337,https://atlas.ripe.net/api/v2/probes/267/measurements/?format=json
274,,,15598,,https://atlas.ripe.net/api/v2/probes/274/measurements/?format=json
276,,,,,https://atlas.ripe.net/api/v2/probes/276/measurements/?format=json
316,,,31334,,https://atlas.ripe.net/api/v2/probes/316/measurements/?format=json
366,,,31638,31638,https://atlas.ripe.net/api/v2/probes/366/measurements/?format=json
638,,,,,https://atlas.ripe.net/api/v2/probes/638/measurements/?format=json
656,193.171.236.164,,1853,,https://atlas.ripe.net/api/v2/probes/656/measurements/?format=json
684,83.175.66.60,,31510,,https://atlas.ripe.net/api/v2/probes/684/measurements/?format=json
853,78.40.167.12,,210218,,https://atlas.ripe.net/api/v2/probes/853/measurements/?format=json
1310,,,48200,48200,https://atlas.ripe.net/api/v2/probes/1310/measurements/?format=json
1431,83.142.87.33,2a01:4a0:1337::33,201011,201011,https://atlas.ripe.net/api/v2/probes/1431/measurements/?format=json
1463,213.241.156.4,fdaa:da1f:a7a8:0:220:4aff:fecd:c768,8859,,https://atlas.ripe.net/api/v2/probes/1463/measurements/?format=json
2074,194.150.191.253,2001:67c:14c:66::ffff,33988,33988,https://atlas.ripe.net/api/v2/probes/2074/measurements/?format=json
2150,93.215.181.218,2003:63:3b40:4839:220:4aff:fee0:201f,3320,3320,https://atlas.ripe.net/api/v2/probes/2150/measurements/?format=json
2179,,,8767,,https://atlas.ripe.net/api/v2/probes/2179/measurements/?format=json
2208,,,8767,8767,https://atlas.ripe.net/api/v2/probes/2208/measurements/?format=json
2237,,,,3320,https://atlas.ripe.net/api/v2/probes/2237/measurements/?format=json
2339,91.200.129.9,,43942,,https://atlas.ripe.net/api/v2/probes/2339/measurements/?format=json
2364,,,,8767,https://atlas.ripe.net/api/v2/probes/2364/measurements/?format=json
2453,92.117.241.158,,8881,,https://atlas.ripe.net/api/v2/probes/2453/measurements/?format=json
2557,,,8319,,https://atlas.ripe.net/api/v2/probes/2557/measurements/?format=json
2824,91.190.200.22,2a00:e57:efff:efff::22,15451,15451,https://atlas.ripe.net/api/v2/probes/2824/measurements/?format=json
2887,193.27.55.22,2a00:e50:f154:5180::22,15451,15451,https://atlas.ripe.net/api/v2/probes/2887/measurements/?format=json
3046,193.170.114.34,2001:628:2006:8::2,1853,1853,https://atlas.ripe.net/api/v2/probes/3046/measurements/?format=json
3301,194.246.16.9,,8767,,https://atlas.ripe.net/api/v2/probes/3301/measurements/?format=json
4381,83.137.41.20,,31394,,https://atlas.ripe.net/api/v2/probes/4381/measurements/?format=json
4595,,,,,https://atlas.ripe.net/api/v2/probes/4595/measurements/?format=json
4844,83.175.97.206,,31510,,https://atlas.ripe.net/api/v2/probes/4844/measurements/?format=json
6081,194.150.191.46,2001:67c:14c:12f::46,33988,33988,https://atlas.ripe.net/api/v2/probes/6081/measurements/?format=json
6171,185.28.156.14,2a00:9e20:101::e,60574,60574,https://atlas.ripe.net/api/v2/probes/6171/measurements/?format=json
6332,88.198.173.54,2a01:4f8:de::54,24940,24940,https://atlas.ripe.net/api/v2/probes/6332/measurements/?format=json
6424,185.161.192.39,2a07:c700:0:103::a001,50178,50178,https://atlas.ripe.net/api/v2/probes/6424/measurements/?format=json
6581,185.244.192.10,2a03:4000:27:579:184b:5fff:fe50:3ee3,197540,197540,https://atlas.ripe.net/api/v2/probes/6581/measurements/?format=json
6693,78.47.56.73,2a01:4f8:c0c:36f7::1,24940,24940,https://atlas.ripe.net/api/v2/probes/6693/measurements/?format=json
6799,45.83.105.192,2a03:4000:46:70::1,197540,197540,https://atlas.ripe.net/api/v2/probes/6799/measurements/?format=json
10281,24.134.86.77,2a02:8106:219:400:a2f3:c1ff:fec4:5d4c,3209,3209,https://atlas.ripe.net/api/v2/probes/10281/measurements/?format=json
11177,217.245.65.87,,3320,,https://atlas.ripe.net/api/v2/probes/11177/measurements/?format=json
11253,,,39057,39057,https://atlas.ripe.net/api/v2/probes/11253/measurements/?format=json
11285,31.172.112.66,2a04:2200:bad:e00::66,60955,60955,https://atlas.ripe.net/api/v2/probes/11285/measurements/?format=json
11544,,,,,https://atlas.ripe.net/api/v2/probes/11544/measurements/?format=json
11574,158.255.193.126,,57507,,https://atlas.ripe.net/api/v2/probes/11574/measurements/?format=json
11665,83.175.86.108,,31510,,https://atlas.ripe.net/api/v2/probes/11665/measurements/?format=json
12722,,,1853,1853,https://atlas.ripe.net/api/v2/probes/12722/measurements/?format=json
13031,77.72.199.254,,12835,,https://atlas.ripe.net/api/v2/probes/13031/measurements/?format=json
13326,,,,,https://atlas.ripe.net/api/v2/probes/13326/measurements/?format=json
13488,84.188.167.133,2003:c0:170f:9f00:a2f3:c1ff:fec4:507f,3320,3320,https://atlas.ripe.net/api/v2/probes/13488/measurements/?format=json
14243,2.203.153.63,fd00::6666:b3ff:feb0:ac6c,3209,,https://atlas.ripe.net/api/v2/probes/14243/measurements/?format=json
14717,,,,,https://atlas.ripe.net/api/v2/probes/14717/measurements/?format=json
15320,80.79.63.218,,34695,,https://atlas.ripe.net/api/v2/probes/15320/measurements/?format=json
15526,,,,,https://atlas.ripe.net/api/v2/probes/15526/measurements/?format=json
15819,,,39090,,https://atlas.ripe.net/api/v2/probes/15819/measurements/?format=json
16032,84.181.228.98,2003:86:6d15:7900:6666:b3ff:fed1:1620,3320,3320,https://atlas.ripe.net/api/v2/probes/16032/measurements/?format=json
16039,185.11.252.68,,61303,,https://atlas.ripe.net/api/v2/probes/16039/measurements/?format=json
16195,,,21309,,https://atlas.ripe.net/api/v2/probes/16195/measurements/?format=json
16308,,,,,https://atlas.ripe.net/api/v2/probes/16308/measurements/?format=json
