msm_id,target,target_ip,msm_type
1768116,de-nue-as33988.anchors.atlas.ripe.net,194.150.191.46,ping
9184480,de-nue-as33988.anchors.atlas.ripe.net,194.150.191.46,ping
1768118,de-nue-as33988.anchors.atlas.ripe.net,2001:67c:14c:12f::46,ping
9184483,de-nue-as33988.anchors.atlas.ripe.net,2001:67c:14c:12f::46,ping
10696140,de-rgm-as24940.anchors.atlas.ripe.net,88.198.173.54,ping
10696149,de-rgm-as24940.anchors.atlas.ripe.net,88.198.173.54,ping
10696143,de-rgm-as24940.anchors.atlas.ripe.net,2a01:4f8:de::54,ping
10696152,de-rgm-as24940.anchors.atlas.ripe.net,2a01:4f8:de::54,ping
17605579,it-men-as50178.anchors.atlas.ripe.net,185.161.192.39,ping
17605777,it-men-as50178.anchors.atlas.ripe.net,185.161.192.39,ping
17605588,it-men-as50178.anchors.atlas.ripe.net,2a07:c700:0:103::a001,ping
17605781,it-men-as50178.anchors.atlas.ripe.net,2a07:c700:0:103::a001,ping
22372627,de-rgm-as197540.anchors.atlas.ripe.net,185.244.192.10,ping
22374321,de-rgm-as197540.anchors.atlas.ripe.net,185.244.192.10,ping
22372630,de-rgm-as197540.anchors.atlas.ripe.net,2a03:4000:27:579:184b:5fff:fe50:3ee3,ping
22374324,de-rgm-as197540.anchors.atlas.ripe.net,2a03:4000:27:579:184b:5fff:fe50:3ee3,ping
23677189,de-rgm-as24940-client.anchors.atlas.ripe.net,78.47.56.73,ping
23694663,de-rgm-as24940-client.anchors.atlas.ripe.net,78.47.56.73,ping
23677192,de-rgm-as24940-client.anchors.atlas.ripe.net,2a01:4f8:c0c:36f7::1,ping
23694670,de-rgm-as24940-client.anchors.atlas.ripe.net,2a01:4f8:c0c:36f7::1,ping
25544144,de-nue-as197540.anchors.atlas.ripe.net,45.83.105.192,ping
25544270,de-nue-as197540.anchors.atlas.ripe.net,45.83.105.192,ping
25544272,de-nue-as197540.anchors.atlas.ripe.net,45.83.105.192,ping
25544147,de-nue-as197540.anchors.atlas.ripe.net,2a03:4000:46:70::1,ping
25544275,de-nue-as197540.anchors.atlas.ripe.net,2a03:4000:46:70::1,ping
25544278,de-nue-as197540.anchors.atlas.ripe.net,2a03:4000:46:70::1,ping
24657292,snafu.gq,24.134.127.69,ping
