af,ip_src,ip_dest,asn_src,asn_dest,timestamp,rtt_min
4,192.0.46.157,194.150.191.46,16876,33988,1602021730,87.880953
4,63.218.125.154,194.150.191.46,3491,33988,1602021737,86.016599
4,204.9.93.238,194.150.191.46,16409,33988,1602021743,94.726766
4,192.136.136.221,194.150.191.46,10745,33988,1602021794,86.592602
4,206.196.178.150,194.150.191.46,10886,33988,1602021826,86.452344
4,192.0.46.157,194.150.191.46,16876,33988,1602021962,87.909498
4,63.218.125.154,194.150.191.46,3491,33988,1602021985,86.079773
4,204.9.93.238,194.150.191.46,16409,33988,1602021971,94.679362
4,192.136.136.221,194.150.191.46,10745,33988,1602022037,86.281851
4,206.196.178.150,194.150.191.46,10886,33988,1602022061,86.549005
4,192.0.46.157,194.150.191.46,16876,33988,1602022215,87.879134
4,63.218.125.154,194.150.191.46,3491,33988,1602022211,86.039074
4,204.9.93.238,194.150.191.46,16409,33988,1602022224,94.649691
4,192.136.136.221,194.150.191.46,10745,33988,1602022278,86.692069
4,206.196.178.150,194.150.191.46,10886,33988,1602022294,86.64636
4,192.0.46.157,194.150.191.46,16876,33988,1602022444,88.046181
4,63.218.125.154,194.150.191.46,3491,33988,1602022457,86.245918
4,204.9.93.238,194.150.191.46,16409,33988,1602022465,94.524394
4,192.136.136.221,194.150.191.46,10745,33988,1602022514,86.126754
4,206.196.178.150,194.150.191.46,10886,33988,1602022538,86.34146
4,192.0.46.157,194.150.191.46,16876,33988,1602022682,92.357168
4,63.218.125.154,194.150.191.46,3491,33988,1602022691,86.064337
4,204.9.93.238,194.150.191.46,16409,33988,1602022701,94.770463
4,192.136.136.221,194.150.191.46,10745,33988,1602022754,86.413682
4,206.196.178.150,194.150.191.46,10886,33988,1602022778,86.575287
4,192.0.46.157,194.150.191.46,16876,33988,1602022930,92.294518
4,63.218.125.154,194.150.191.46,3491,33988,1602022941,86.038362
4,204.9.93.238,194.150.191.46,16409,33988,1602022945,94.703321
4,192.136.136.221,194.150.191.46,10745,33988,1602023000,86.309905
4,206.196.178.150,194.150.191.46,10886,33988,1602023014,86.661768
4,192.0.46.157,194.150.191.46,16876,33988,1602023173,87.851014
4,63.218.125.154,194.150.191.46,3491,33988,1602023184,86.10802
4,204.9.93.238,194.150.191.46,16409,33988,1602023172,94.727679
4,192.136.136.221,194.150.191.46,10745,33988,1602023241,86.535923
4,206.196.178.150,194.150.191.46,10886,33988,1602023258,86.532866
4,192.0.46.157,194.150.191.46,16876,33988,1602023415,87.889093
4,63.218.125.154,194.150.191.46,3491,33988,1602023418,86.148964
4,204.9.93.238,194.150.191.46,16409,33988,1602023422,94.785952
4,192.136.136.221,194.150.191.46,10745,33988,1602023473,86.572832
4,206.196.178.150,194.150.191.46,10886,33988,1602023503,86.635843
4,192.0.46.157,194.150.191.46,16876,33988,1602023649,87.967423
4,63.218.125.154,194.150.191.46,3491,33988,1602023653,86.064312
4,204.9.93.238,194.150.191.46,16409,33988,1602023657,94.841918
