msm_id,target,target_ip,msm_type
1768115,de-nue-as33988.anchors.atlas.ripe.net,194.150.191.46,traceroute
9184479,de-nue-as33988.anchors.atlas.ripe.net,194.150.191.46,traceroute
1768117,de-nue-as33988.anchors.atlas.ripe.net,2001:67c:14c:12f::46,traceroute
9184482,de-nue-as33988.anchors.atlas.ripe.net,2001:67c:14c:12f::46,traceroute
10696139,de-rgm-as24940.anchors.atlas.ripe.net,88.198.173.54,traceroute
10696148,de-rgm-as24940.anchors.atlas.ripe.net,88.198.173.54,traceroute
10696142,de-rgm-as24940.anchors.atlas.ripe.net,2a01:4f8:de::54,traceroute
10696151,de-rgm-as24940.anchors.atlas.ripe.net,2a01:4f8:de::54,traceroute
17605578,it-men-as50178.anchors.atlas.ripe.net,185.161.192.39,traceroute
17605776,it-men-as50178.anchors.atlas.ripe.net,185.161.192.39,traceroute
17605587,it-men-as50178.anchors.atlas.ripe.net,2a07:c700:0:103::a001,traceroute
17605780,it-men-as50178.anchors.atlas.ripe.net,2a07:c700:0:103::a001,traceroute
22372626,de-rgm-as197540.anchors.atlas.ripe.net,185.244.192.10,traceroute
22374320,de-rgm-as197540.anchors.atlas.ripe.net,185.244.192.10,traceroute
22372629,de-rgm-as197540.anchors.atlas.ripe.net,2a03:4000:27:579:184b:5fff:fe50:3ee3,traceroute
22374323,de-rgm-as197540.anchors.atlas.ripe.net,2a03:4000:27:579:184b:5fff:fe50:3ee3,traceroute
23677188,de-rgm-as24940-client.anchors.atlas.ripe.net,78.47.56.73,traceroute
23694662,de-rgm-as24940-client.anchors.atlas.ripe.net,78.47.56.73,traceroute
23677191,de-rgm-as24940-client.anchors.atlas.ripe.net,2a01:4f8:c0c:36f7::1,traceroute
23694669,de-rgm-as24940-client.anchors.atlas.ripe.net,2a01:4f8:c0c:36f7::1,traceroute
25544143,de-nue-as197540.anchors.atlas.ripe.net,45.83.105.192,traceroute
25544269,de-nue-as197540.anchors.atlas.ripe.net,45.83.105.192,traceroute
25544146,de-nue-as197540.anchors.atlas.ripe.net,2a03:4000:46:70::1,traceroute
25544274,de-nue-as197540.anchors.atlas.ripe.net,2a03:4000:46:70::1,traceroute
25544277,de-nue-as197540.anchors.atlas.ripe.net,2a03:4000:46:70::1,traceroute
24657294,snafu.gq,24.134.127.69,traceroute
