prb_id,address_v4,address_v6,asn_v4,asn_v6
1113,199.212.124.181,2620:ee:8000:103:220:4aff:fec7:b06b,16881,16881
1408,204.2.211.147,,2914,
2738,,,,
3312,,,,
3410,73.148.98.241,,7922,
3631,,,,
3649,138.88.178.100,2610:178:2:3:280:a3ff:fe91:4154,701,16668
3681,,,22773,
3683,74.96.146.156,,701,
3715,71.126.140.145,,701,
3762,72.66.10.156,,701,
3774,96.231.212.108,fd18:d877:c8e8:0:280:a3ff:fe91:40b5,701,
4542,,,7922,
4829,96.255.14.147,,701,
6130,192.0.46.157,2620:0:2830:203::157,16876,16876
6155,108.59.15.3,2604:9a00:2100:1:3::300,30633,30633
6341,192.136.136.221,2001:500:110::221,10745,10745
6588,206.196.178.150,2001:468:c00:10::2,10886,10886
6769,63.218.125.154,2400:8800:5f07:3::2,3491,3491
6804,204.9.93.238,2001:550:102:ff::c0a,16409,16409
6928,170.39.224.221,2a0e:6902:2002:1a0:5054:ff:fe5c:12b3,57695,57695
6957,128.164.88.178,2620:106:c005:4f85:5269:7065:a746:ca73,11039,11039
10329,,,26134,26134
10506,63.130.83.21,2001:5014:702:0:a2f3:c1ff:fec4:48fe,1273,1273
10675,173.192.213.14,2607:f0d0:3001:63::2,36351,36351
10694,108.56.166.47,,701,
10727,,,701,
10731,,,701,
10874,108.28.244.33,fd4a:a5ac:9f4b:1:a2f3:c1ff:fec4:48e1,701,
11550,71.246.232.174,,701,
12802,173.79.10.18,2610:178:8:666:a2f3:c1ff:fec4:47b7,701,16668
13128,173.66.184.221,,701,
13249,69.255.21.229,2601:151:c300:ad:a2f3:c1ff:fec4:4347,7922,7922
13572,,,36692,
13681,173.79.137.21,,701,
14590,69.251.71.247,2601:151:c304:3df0:6666:b3ff:feb0:ec8e,7922,7922
14747,,,7922,7922
14786,,,,
14969,63.221.242.138,,3491,
15976,100.36.38.11,2606:700:e:30:6666:b3ff:feb0:db44,701,54054
16068,96.255.48.226,,701,
16621,,,701,
16848,69.143.52.69,,7922,
16900,184.191.66.184,,22773,
17359,,,701,
17410,173.73.115.58,,701,
17423,69.250.46.25,2601:151:c300:13c:6666:b3ff:fec5:5d8,7922,7922
18451,73.172.232.90,2601:142:100:10c1:c24a:ff:fecc:7996,7922,7922
19047,73.134.206.226,2601:143:8201:a00:ea94:f6ff:fe48:94b4,7922,7922
19415,141.161.13.232,,11318,
19513,141.161.13.235,,11318,
20275,50.239.129.122,,7922,
21119,69.138.162.81,2601:155:8300:e:ea94:f6ff:fee3:5aae,7922,7922
22382,68.98.140.186,2600:8806:500:cb:ea94:f6ff:fee3:73f4,22773,22773
22881,,,3491,
23704,50.246.66.190,2603:3003:360b:2800:eade:27ff:fec9:69cc,7922,7922
23749,68.100.196.42,,22773,
24209,209.23.210.2,2001:559:8001:5:16cc:20ff:fe48:b9d8,26868,26868
24725,71.241.253.36,,701,
27004,108.28.25.93,,701,
27497,173.79.162.183,,701,
28608,,,701,
28684,173.79.220.119,,701,
28734,72.83.28.176,,701,
29090,,,701,
29155,100.15.183.63,,701,
30663,,,22773,
30693,,,701,
31135,135.84.167.210,,394065,
31181,100.36.45.114,,701,
31250,38.142.218.114,2001:470:e43d:2:ee08:6bff:fe73:4326,174,6939
31330,69.251.253.43,2603:3003:127:1000:ee08:6bff:fe73:3ef4,7922,7922
31389,100.36.177.74,2001:470:8:619:ee08:6bff:fe73:304e,701,6939
32234,108.28.124.120,,701,
32368,108.31.99.120,,701,
32383,137.83.125.159,fd35:aa69:77bb:2:1ad6:c7ff:fecc:7182,395354,
33415,71.126.173.34,,701,
33644,108.56.134.45,,701,
35640,66.44.49.197,,6079,
50078,71.114.56.208,,701,
50164,71.163.80.119,,701,
50476,96.255.234.27,,701,
50507,,,,
50632,,,701,
50863,,,,
51248,74.123.206.148,,25885,
51331,8.39.160.204,,395257,
52085,72.205.42.79,,22773,
52184,209.148.46.47,,46887,
52187,73.129.236.136,2601:140:8002:a852:1:91ff:fe0c:843f,7922,7922
52449,98.169.235.63,2600:8806:2308:f200:1:e4ff:fe12:d60,22773,22773
54173,108.48.1.231,2001:470:8:4f5:1:2aff:fee8:31c0,701,6939
54736,73.200.217.142,,7922,
55121,71.114.67.62,,701,
55457,96.241.42.129,,701,
1000524,45.35.204.249,,40676,
1000816,96.231.241.150,,701,
1001204,100.36.163.180,,701,
